Age32-40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States,0
Age17-23, Private, 10th, Never-married, Prof-specialty, Unmarried, Black, Female,Hour36-50, United-States,0
Age41-50, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States,1
Age41-50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Private, 12th, Widowed, Other-service, Unmarried, Black, Female,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, 7th-8th, Never-married, Machine-op-inspct, Not-in-family, Other, Female,Hour36-50, Mexico,0
Age17-23, Federal-gov, Some-college, Never-married, Tech-support, Not-in-family, White, Male,Hour36-50, United-States,0
Age61-70, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour21-35, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Local-gov, 10th, Never-married, Transport-moving, Other-relative, White, Male,Hour36-50, United-States,0
Age32-40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Own-child, White, Male,Hour1-20, United-States,0
Age41-50, Self-emp-not-inc, HS-grad, Divorced, Other-service, Unmarried, White, Female,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Male,Hour1-20, United-States,0
Age32-40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour1-20, United-States,1
Age51-60, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,1
Age24-31, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour51-70, United-States,1
Age17-23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, Federal-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,Hour36-50, Philippines,1
Age61-70, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,Hour36-50, United-States,1
Age17-23, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,Hour36-50, United-States,0
Age61-70, Private, 12th, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, United-States,0
Age17-23, State-gov, Assoc-acdm, Never-married, Tech-support, Own-child, White, Male,Hour1-20, United-States,0
Age41-50, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,Hour21-35, United-States,0
Age24-31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,Hour21-35, South,0
Age32-40, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, ?,1
Age51-60, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,Hour1-20, Philippines,0
Age41-50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour36-50, United-States,0
Age51-60, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Never-married, Craft-repair, Unmarried, Black, Male,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,Hour21-35, United-States,0
Age81-90, State-gov, 1st-4th, Widowed, Other-service, Not-in-family, White, Female,Hour1-20, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,Hour36-50, ?,0
Age32-40, Private, 10th, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,Hour36-50, Portugal,0
Age17-23, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States,0
Age24-31, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,Hour71-99, United-States,0
Age51-60, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,Hour51-70, Cuba,0
Age51-60, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,Hour21-35, ?,0
Age41-50, State-gov, Some-college, Divorced, Adm-clerical, Own-child, White, Female,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,Hour21-35, United-States,0
Age41-50, ?, HS-grad, Married-spouse-absent, ?, Unmarried, White, Female,Hour21-35, United-States,0
Age51-60, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,Hour36-50, Scotland,0
Age51-60, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,Hour21-35, United-States,0
Age17-23, Private, 12th, Never-married, Other-service, Own-child, White, Male,Hour36-50, El-Salvador,0
Age32-40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,Hour1-20, United-States,0
Age24-31, Private, 7th-8th, Separated, Craft-repair, Not-in-family, White, Female,Hour36-50, United-States,0
Age24-31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour21-35, United-States,0
Age51-60, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Sales, Own-child, White, Male,Hour21-35, United-States,0
Age51-60, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour36-50, United-States,1
Age51-60, Private, 5th-6th, Married-civ-spouse, Craft-repair, Other-relative, White, Female,Hour36-50, United-States,0
Age61-70, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age41-50, ?, 7th-8th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Male,Hour36-50, United-States,0
Age24-31, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age61-70, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Local-gov, HS-grad, Widowed, Other-service, Unmarried, White, Female,Hour21-35, United-States,0
Age51-60, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour36-50, United-States,1
Age17-23, Federal-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States,1
Age17-23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,Hour1-20, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States,0
Age61-70, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour21-35, United-States,1
Age71-80, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,Hour51-70, United-States,0
Age41-50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Federal-gov, Some-college, Widowed, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,Hour36-50, United-States,0
Age17-23, ?, Some-college, Never-married, ?, Own-child, White, Female,Hour21-35, United-States,0
Age17-23, Private, 12th, Never-married, Adm-clerical, Own-child, White, Female,Hour21-35, United-States,0
Age41-50, Private, Some-college, Divorced, Exec-managerial, Other-relative, White, Female,Hour36-50, United-States,0
Age41-50, Local-gov, Some-college, Never-married, Prof-specialty, Other-relative, White, Male,Hour1-20, United-States,0
Age17-23, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,Hour1-20, Vietnam,0
Age32-40, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, Black, Male,Hour21-35, United-States,0
Age24-31, Private, Some-college, Never-married, Other-service, Own-child, White, Male,Hour21-35, Canada,0
Age61-70, Local-gov, Doctorate, Widowed, Prof-specialty, Unmarried, White, Female,Hour36-50, Iran,0
Age41-50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, Assoc-voc, Never-married, Tech-support, Not-in-family, White, Male,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,Hour1-20, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Never-married, Sales, Own-child, Other, Male,Hour36-50, Puerto-Rico,0
Age17-23, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour21-35, United-States,0
Age17-23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,Hour36-50, United-States,0
Age32-40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age17-23, Private, Some-college, Never-married, Other-service, Own-child, White, Female,Hour1-20, United-States,0
Age51-60, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Private, 10th, Never-married, Other-service, Own-child, White, Female,Hour1-20, United-States,0
Age41-50, Private, Some-college, Married-spouse-absent, Sales, Unmarried, Black, Female,Hour36-50, United-States,0
Age24-31, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,Hour36-50, United-States,0
Age71-80, Self-emp-not-inc, 1st-4th, Divorced, Craft-repair, Not-in-family, White, Female,Hour21-35, United-States,0
Age24-31, Private, 12th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, El-Salvador,0
Age71-80, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,Hour1-20, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour1-20, United-States,0
Age41-50, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, Ecuador,0
Age41-50, Local-gov, Assoc-voc, Divorced, Protective-serv, Own-child, White, Female,Hour36-50, Cuba,0
Age41-50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Federal-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Never-married, Priv-house-serv, Not-in-family, White, Female,Hour36-50, United-States,0
Age61-70, Private, HS-grad, Widowed, Tech-support, Not-in-family, White, Female,Hour1-20, United-States,0
Age17-23, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,Hour1-20, United-States,0
Age51-60, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour51-70, United-States,0
Age41-50, Private, Assoc-voc, Separated, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Male,Hour21-35, United-States,0
Age51-60, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,Hour51-70, Outlying-US(Guam-USVI-etc),0
Age51-60, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States,1
Age41-50, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,Hour36-50, United-States,0
Age51-60, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States,0
Age61-70, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male,Hour36-50, United-States,1
Age17-23, ?, 10th, Never-married, ?, Own-child, White, Female,Hour36-50, United-States,0
Age17-23, Private, 11th, Never-married, Farming-fishing, Own-child, White, Male,Hour21-35, United-States,0
Age24-31, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,Hour51-70, United-States,0
Age32-40, Private, HS-grad, Separated, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Private, 11th, Divorced, Transport-moving, Not-in-family, White, Male,Hour71-99, United-States,1
Age51-60, Private, 7th-8th, Married-civ-spouse, Other-service, Wife, White, Female,Hour71-99, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Local-gov, Doctorate, Divorced, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States,1
Age32-40, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,Hour36-50, United-States,0
Age24-31, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,Hour36-50, United-States,0
Age51-60, Local-gov, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age41-50, State-gov, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,Hour1-20, United-States,0
Age24-31, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,0
Age32-40, ?, 12th, Separated, ?, Unmarried, Black, Female,Hour51-70, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States,1
Age32-40, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, Mexico,0
Age41-50, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour36-50, United-States,1
Age24-31, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Private, 10th, Divorced, Machine-op-inspct, Not-in-family, Black, Female,Hour36-50, United-States,0
Age32-40, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour71-99, United-States,0
Age17-23, Local-gov, HS-grad, Never-married, Transport-moving, Own-child, White, Male,Hour36-50, United-States,0
Age41-50, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,Hour51-70, United-States,0
Age41-50, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,Hour36-50, United-States,0
Age51-60, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour1-20, United-States,0
Age41-50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Federal-gov, HS-grad, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Female,Hour36-50, United-States,0
Age61-70, ?, 5th-6th, Married-civ-spouse, ?, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Black, Male,Hour36-50, ?,0
Age51-60, State-gov, Masters, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,Hour36-50, United-States,0
Age24-31, Private, Doctorate, Never-married, Adm-clerical, Own-child, White, Male,Hour1-20, United-States,0
Age81-90, Self-emp-inc, HS-grad, Divorced, Sales, Not-in-family, White, Male,Hour1-20, United-States,0
Age17-23, Private, 11th, Never-married, Other-service, Own-child, White, Male,Hour1-20, United-States,0
Age24-31, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Self-emp-not-inc, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Male,Hour51-70, United-States,0
Age32-40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age17-23, Private, Assoc-acdm, Married-civ-spouse, Sales, Wife, White, Female,Hour21-35, United-States,0
Age51-60, Local-gov, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,Hour36-50, United-States,0
Age51-60, Private, 1st-4th, Married-civ-spouse, Other-service, Husband, White, Male,Hour51-70, Mexico,0
Age81-90, ?, 10th, Widowed, ?, Not-in-family, White, Male,Hour1-20, United-States,0
Age24-31, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, Germany,1
Age24-31, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,Hour21-35, Canada,0
Age17-23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, Bachelors, Married-spouse-absent, Sales, Not-in-family, White, Female,Hour36-50, United-States,0
Age17-23, Private, 7th-8th, Never-married, Machine-op-inspct, Own-child, Black, Female,Hour36-50, Dominican-Republic,0
Age61-70, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Hour1-20, United-States,1
Age24-31, Private, 11th, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,Hour36-50, United-States,0
Age17-23, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Male,Hour1-20, United-States,0
Age24-31, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Wife, Black, Female,Hour36-50, United-States,1
Age61-70, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour1-20, United-States,0
Age61-70, Self-emp-inc, HS-grad, Widowed, Sales, Not-in-family, White, Female,Hour1-20, United-States,0
Age24-31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Separated, Machine-op-inspct, Unmarried, White, Male,Hour36-50, United-States,0
Age32-40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,Hour36-50, United-States,0
Age24-31, Private, Bachelors, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,Hour36-50, Taiwan,0
Age51-60, Local-gov, Some-college, Widowed, Adm-clerical, Not-in-family, White, Female,Hour21-35, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour36-50, United-States,1
Age24-31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,Hour36-50, United-States,0
Age51-60, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,Hour36-50, United-States,0
Age17-23, Private, 10th, Never-married, Other-service, Own-child, White, Female,Hour21-35, United-States,0
Age41-50, State-gov, Some-college, Never-married, Other-service, Own-child, Black, Female,Hour36-50, United-States,0
Age41-50, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States,1
Age17-23, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,Hour21-35, United-States,0
Age17-23, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,Hour36-50, United-States,0
Age17-23, Private, 11th, Never-married, Other-service, Own-child, White, Male,Hour1-20, United-States,0
Age81-90, Private, Some-college, Divorced, Sales, Unmarried, Black, Female,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age17-23, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Own-child, White, Male,Hour36-50, United-States,0
Age61-70, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Unmarried, White, Female,Hour21-35, United-States,0
Age24-31, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,Hour51-70, United-States,0
Age32-40, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Hour21-35, United-States,0
Age24-31, Local-gov, Some-college, Never-married, Protective-serv, Not-in-family, Black, Male,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,Hour36-50, United-States,0
Age71-80, Private, HS-grad, Widowed, Other-service, Other-relative, White, Female,Hour21-35, United-States,0
Age24-31, Private, 5th-6th, Never-married, Machine-op-inspct, Other-relative, White, Male,Hour36-50, Mexico,0
Age32-40, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States,1
Age32-40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,Hour36-50, United-States,0
Age24-31, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,Hour36-50, United-States,0
Age32-40, ?, 9th, Divorced, ?, Own-child, Amer-Indian-Eskimo, Male,Hour36-50, United-States,0
Age32-40, State-gov, HS-grad, Divorced, Other-service, Not-in-family, Black, Female,Hour36-50, United-States,0
Age32-40, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,Hour36-50, United-States,0
Age32-40, ?, Bachelors, Never-married, ?, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,Hour36-50, Jamaica,0
Age24-31, Self-emp-inc, Some-college, Separated, Sales, Own-child, White, Female,Hour36-50, United-States,0
Age17-23, Private, 10th, Never-married, Other-service, Own-child, White, Female,Hour1-20, United-States,0
Age24-31, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,Hour36-50, United-States,0
Age17-23, Private, 11th, Never-married, Other-service, Own-child, White, Female,Hour21-35, United-States,0
Age17-23, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,Hour21-35, United-States,0
Age61-70, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,Hour21-35, United-States,0
Age17-23, State-gov, Some-college, Never-married, Other-service, Not-in-family, White, Female,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,Hour36-50, United-States,0
Age32-40, Private, Some-college, Separated, Other-service, Unmarried, White, Female,Hour1-20, United-States,0
Age41-50, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Private, 12th, Married-civ-spouse, Protective-serv, Husband, Black, Male,Hour36-50, ?,0
Age51-60, Private, Some-college, Widowed, Exec-managerial, Unmarried, White, Female,Hour36-50, United-States,0
Age41-50, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age17-23, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,Hour36-50, United-States,0
Age32-40, Private, Bachelors, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States,1
Age51-60, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States,0
Age51-60, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,Hour36-50, United-States,1
Age17-23, ?, 11th, Never-married, ?, Own-child, White, Male,Hour1-20, Peru,0
Age41-50, Local-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States,1
Age17-23, ?, Bachelors, Never-married, ?, Not-in-family, White, Male,Hour21-35, United-States,0
Age24-31, Private, Bachelors, Never-married, Other-service, Unmarried, White, Male,Hour36-50, ?,0
Age32-40, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age32-40, State-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Self-emp-not-inc, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Male,Hour36-50, United-States,0
Age17-23, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,Hour36-50, United-States,0
